image_name,mode,workflow,ncores,count
run_avg_cpu_freq.png,local,daa,4,12
run_avg_cpu_freq.png,local,daa,8,13
run_avg_cpu_freq.png,local,daa,16,9
run_avg_cpu_freq.png,local,daa,32,9
run_avg_cpu_freq.png,local,dpp,4,16
run_avg_cpu_freq.png,local,dpp,8,18
run_avg_cpu_freq.png,local,dpp,16,9
run_avg_cpu_freq.png,local,dpp,32,12
run_avg_cpu_util_all.png,local,daa,4,10
run_avg_cpu_util_all.png,local,daa,8,9
run_avg_cpu_util_all.png,local,daa,16,9
run_avg_cpu_util_all.png,local,daa,32,9
run_avg_cpu_util_all.png,local,dpp,4,10
run_avg_cpu_util_all.png,local,dpp,8,15
run_avg_cpu_util_all.png,local,dpp,16,7
run_avg_cpu_util_all.png,local,dpp,32,10
run_avg_cpu_util_every.png,local,daa,4,10
run_avg_cpu_util_every.png,local,daa,8,9
run_avg_cpu_util_every.png,local,daa,16,9
run_avg_cpu_util_every.png,local,daa,32,9
run_avg_cpu_util_every.png,local,dpp,4,10
run_avg_cpu_util_every.png,local,dpp,8,15
run_avg_cpu_util_every.png,local,dpp,16,7
run_avg_cpu_util_every.png,local,dpp,32,10
run_avg_mem_util.png,local,daa,4,10
run_avg_mem_util.png,local,daa,8,9
run_avg_mem_util.png,local,daa,16,9
run_avg_mem_util.png,local,daa,32,9
run_avg_mem_util.png,local,dpp,4,10
run_avg_mem_util.png,local,dpp,8,15
run_avg_mem_util.png,local,dpp,16,7
run_avg_mem_util.png,local,dpp,32,10
run_avg_normalized.png,local,daa,4,10
run_avg_normalized.png,local,daa,8,9
run_avg_normalized.png,local,daa,16,9
run_avg_normalized.png,local,daa,32,9
run_avg_normalized.png,local,dpp,4,10
run_avg_normalized.png,local,dpp,8,15
run_avg_normalized.png,local,dpp,16,7
run_avg_normalized.png,local,dpp,32,10
